Area,Year,Room,Total Price,PPA,Floor,Location,Garage,WareHouse,Elevator
80,1380,2,2300000000,28750000,2,Hmdabd ,True,True,False

113,qbl z 1370,2,3850000000,34070000,0,blwr nSrkhsrw ,True,True,False

165,1401,3,6850000000,41515000,1,khwchh Hkhym nZmy ,True,True,True

190,1386,3,5100000000,26842000,1,Hmdabd ,True,True,True

300,1395,4,9500000000,31666000,6,Hmdabd ,True,True,True

125,1382,2,3180000000,25440000,1,Hmdabd ,True,True,False

182,1391,3,5700000000,31318000,5,Hmdabd ,True,True,True

335,1401,4,19095000000,57000000,2,Hmdabd ,True,True,True

200,1400,3,6850000000,34250000,3,khwchh Hkhym nZmy ,True,True,True

175,1401,3,8000000000,45714000,3,Hmdabd ,True,True,True

200,1401,3,8000000000,40000000,6,Hmdabd ,True,True,True

85,1390, Tl`t tms,1100000000,12941000,0,rshd ,False,True,False

130,1400,2,8320000000,64000000,7,rshd ,True,True,True

83,1389,2,1900000000,22891000,1,blwr rshd (blwr khym) ,True,False,True

160,1390,3,3600000000,22500000,1,rshd ,True,True,True

127,1400,2,4650000000,36614000,3,rshd ,True,True,True

200,1401,3,7000000000,35000000,4,khybn bystwn (blwr dstGyb) ,True,True,True

140,1376,2,2600000000,18571000,3,rshd ,True,True,False

160,1401,3,6400000000,40000000,5,rshd ,True,True,True

165,1401,3,4500000000,27272000,1,frmrz `bsy ,True,True,True

145,1401,3,6000000000,41379000,2,rshd ,True,True,True

245,1400,4,8800000000,35918000,5,rshd ,True,True,True

110,1401,2,4400000000,40000000,5,rshd ,True,True,True

120,1378,2,2600000000,21666000,1,rshd ,True,False,False

245,1401,4,9500000000,38775000,2,rshd ,True,True,True

150,1401,3,5550000000,37000000,2,rshd ,True,True,True

155,1395,3,4650000000,30000000,3,rshd ,True,True,True

72,1400,2,165000000,2291000,3,rwnd ,True,True,False

145,1401,3,4250000000,29310000,27,qbl ,True,True,True

107,1401,2,3400000000,31775000,11,qbl ,True,True,True

80,1392,2,1840000000,23000000,1,blwr qbl lhwry (b. wkhyl abd) ,True,True,True

110,1390,2,2550000000,23181000,5,khwchh wkhyl abd shSt w pnjm (khnrgdhr wkhyl abd) ,True,True,True

75,1391,1,1700000000,22666000,3,qbl ,True,True,True

115,1386,2,2400000000,20869000,4,qbl ,True,True,True

95,1389,2,2250000000,23684000,1,qbl ,True,True,False

70,1389,2,1720000000,24571000,1,qbl ,True,True,True

85,1390,2,2050000000,24117000,1,qbl ,True,True,True

93,1390,2,2240000000,24086000,0,qbl ,True,True,False

110,1386,2,2000000000,18181000,80,qbl ,True,True,True

117,1386,2,2370000000,20256000,4,blwr qbl lhwry (b. wkhyl abd) ,True,True,True

75,1380,2,1280000000,17066000,3,blwr qbl lhwry (b. wkhyl abd) ,True,True,False

132,1401,3,3960000000,30000000,2,qbl ,True,True,True

100,1401,2,2600000000,26000000,8,qbl ,True,False,True

130,1401,3,3780000000,29076000,1,qbl ,True,True,True

132,1401,3,3850000000,29166000,1,qbl ,True,True,True

100,1395,2,2500000000,25000000,3,qbl ,True,True,True

116,1395,2,2420000000,20862000,3,qbl ,True,True,True

105,1387,2,2100000000,20000000,2,qbl ,True,True,True

115,1389,2,2320000000,20173000,4,qbl ,True,True,True

116,1401,2,2550000000,21982000,3,lhyh ,True,True,True

100,1393,2,1750000000,17500000,4,lhyh ,True,True,True

115,1401,2,2250000000,19565000,3,lhyh ,True,True,True

118,1401,2,2560000000,21694000,4,lhyh ,True,True,True

110,1401,2,1870000000,17000000,3,lhyh ,True,True,True

85,1392,2,1400000000,16470000,1,lhyh ,True,False,False

80,1401,2,1560000000,19500000,2,lhyh ,True,True,True

75,1385,2,1100000000,14666000,2,lhyh ,True,False,False

130,1401,3,2700000000,20769000,3,lhyh ,True,True,True

